ref,category,part,manufacturer,description,package,qty,status,source,adr,notes
C-BULK-RAIL-100U,module,100uF 25V electrolytic,,Entry bulk on the +12 V analog branch,THROUGH-HOLE radial,1,candidate,,0004,"*** 100uF HERE AND 47uF ON THE OTHER BRANCHES, AND THAT ASYMMETRY IS THE WHOLE POINT OF THE ROW. *** The +12V branch carries the LM317's divider and the DAC, which is roughly twice -12V's draw, so at 47uF each it collapses about twice as fast and every rack power-down leaves the op-amps with V+ near 0 while V- is still at -6 to -8V for tens of milliseconds, pulling all six jacks toward the surviving negative rail. 100uF balances the decay. 10-100uF per rail per ADR 0004. NOT the strip capacitance, which belongs at the load and is C-STRIP-BULK. The decay ratio this argument quotes still counts the deleted LM311 presence comparator and omits the six OPA2197 packages, so the RATIO wants recomputing - the asymmetry does not"
C-BULK-RAIL-47U,module,47uF 25V electrolytic,,"Entry bulk on the -12 V, +5 V and exported branches",THROUGH-HOLE radial,3,candidate,,0004,"Three of them: -12V, bus +5V, and the D2 branch that feeds the load switch. *** THE D2 BRANCH IS ALSO +12V, SO WHETHER IT WANTS 100uF IS OPEN. *** C-BULK-RAIL-100U's rule is stated per RAIL, not per branch, and that branch is the exported +12V - but the drawing has carried 47uF there since it was drawn and the decay argument is about the ANALOG rail the op-amps sit on, which the exported branch is not. Decided by: whether the instrument's own entry capacitance (C-BUCK-IN, C-STRIP-BULK) already covers that branch's decay, which is a carrier question. Do not change it silently in either direction"
C-REG-ADJ,module,10uF ceramic or tantalum,,LM317 ADJUSTMENT pin bypass,0805 / 1206,1,candidate,,0004,"LM317 ADJUSTMENT pin bypass. THIS IS THE ONE THE RIPPLE-REJECTION CLAIM DEPENDS ON - 65dB typ rises to 66 min / 80 typ only with it fitted - and it is not drawn on the page. SPLIT OUT 2026-09-22 FROM AN AGGREGATE ROW THAT COULD NOT BE NETLISTED - two different values in one part field at qty 2, which is not a line item anybody can order and not something a net endpoint can name. Third and fourth instances of that shape after R-BREATH-SUM and C-FILT-BREATH. Connectivity is in netlist.yaml."
C-REG-OUT,module,1uF ceramic or tantalum,,LM317 output bypass,0805 / 1206,1,candidate,,0004,"LM317 output bypass. SPLIT OUT 2026-09-22 FROM AN AGGREGATE ROW THAT COULD NOT BE NETLISTED - two different values in one part field at qty 2, which is not a line item anybody can order and not something a net endpoint can name. Third and fourth instances of that shape after R-BREATH-SUM and C-FILT-BREATH. Connectivity is in netlist.yaml."
D-REVPOL,module,1N5817,,Schottky reverse polarity protection,DO-41 THROUGH-HOLE,3,candidate,,0005,"~0.3-0.4V drop; community standard for eurorack power entry. Vf is 0.24V at 245mA and 0.36V at 612mA, digitised off Fig.2 of the banked DS23001 Rev.8 and calibrated against the two guaranteed points (the method returns 0.454V at 1.0A and 0.746V at 3.0A against specified maxima of 0.450 and 0.750, so +/-0.01V - and THE CURVE SITS ON THE MAX SPEC, so read it typical-to-max). *** THE 1.0A RATING DERATES FROM A LEAD TEMPERATURE OF 90C, NOT AMBIENT, *** falling linearly to 0A at 125C [Fig.1]. With RthJL 15C/W, RthJA 50C/W and ~0.45W at 1.0A, a 65C ambient puts the lead near 81C - inside the knee with roughly 9C of headroom. BUT THAT RthJA IS SPECIFIED FOR THE DATASHEET'S OWN MOUNTING - vertical PCB, 9.5mm leads, 38x38mm copper pads - and a worse mount invalidates the margin. SS34 (Vishay 88751, 3A SMA) and 1N5822 (3A DO-27) are banked as alternatives if E6 measures hot. *** QTY 3, NOT 2: THE MODULE'S ANALOG +12V AND THE UMBILICAL FEED MUST NOT SHARE A DIODE. *** The reason is the tracked figure diode-split-rationale, owned by power-entry.md and deliberately not restated here - state it wrongly and the next reviewer who checks the arithmetic deletes the part. The reasons that hold independently of it: fault isolation between the exported rail and the analog rail, and HF isolation (r_d 69 mohm)"
FB-IN,module,"Laird MI1206K601R-10 (600R @ 100MHz, 1206, 1.5A)",Laird / DuPont,Series bead per supply branch,1206 or 1210,4,candidate,,0004,"One per branch: +12V analog, +12V umbilical, -12V, +5V. Chosen on ONE criterion - it is the only >=1A 600R 1206 part found whose datasheet publishes an IMPEDANCE-UNDER-DC-BIAS curve (traces at 0 / 250 / 500 / 1000 / 1500 mA). Off the drawing: Z@100MHz 600 nominal / 450 min / 750 max, DCR 0.080 ohm max, rated 1500 mA, 3.20 x 1.60 x 1.10 mm, -40 to +125degC including self-heating. *** A BEAD'S CURRENT RATING IS THERMAL, NOT MAGNETIC, so it says nothing about saturation *** - read the bias curve instead. At 100 MHz this part gives ~614 ohm at 0 A, ~431 at 250 mA, ~157 at 500 mA, ~72 at 1000 mA and ~51 at its RATED 1500 mA. Doubling the rating does not help: a 3000 mA twin in the same package reads ~145 ohm at 500 mA, slightly WORSE, for 0.02 ohm more DCR. PER BRANCH: FB4 (+5V, mA), FB3 (-12V, 10-20mA) and FB1 (+12V analog, ~45mA) all sit on the flat part and get 580-614 ohm, essentially the nameplate. *** FB2 CARRIES THE UMBILICAL AT figures.yaml umbilical-current AND GETS ROUGHLY HALF THAT *** - ~280-310 ohm, falling to ~245-275 ohm at the module total. No 1206 600R bead of any rating fixes it; bias shifts the impedance peak UP IN FREQUENCY, so the bead does not die, its useful band slides off 100 MHz. EITHER restate FB2's requirement at its real operating current OR make FB2 a physically larger part. IR drop at 0.080 ohm max is 28.7 mV at the umbilical current (10.3 mW), 31.4 mV at the 392 mA module total, 3.6 mV at 45 mA. SECOND SOURCE: Murata BLM31PG601SN1L is an electrical twin and far better stocked, but its PDF carries no DC-bias curve either - that data lives only in SimSurfing - so it can be an alternate flagged 'bias assumed, not documented', never the characterised part"
J-PWR-EURO,module,16-pin shrouded keyed IDC header,,Eurorack power inlet,THROUGH-HOLE,1,candidate,,0005,Shrouded and keyed - reversed ribbon is the classic eurorack failure. Carries the +5V rail the module REQUIRES
J-UMBILICAL,module,Neutrik etherCON D-series chassis (variant TBD),Neutrik,"8-conductor ruggedised connector, module panel and instrument tail",panel mount,2,open,,0004,"*** BORE IS D24.0mm MINIMUM *** [Neutrik ST-NE8FDP Aend-Index B]. In a 50.50mm 10HP panel that leaves 13.25mm each side. MOUNTING PATTERN: TWO clearance holes only, DIAGONALLY opposite, D3.2mm min, 19 +/-0.1 x 24 +/-0.1mm - centres at (+/-9.5, +/-12.0) from the bore. Flange 26 x 31mm; depth behind panel 34.55mm, or 36.3mm if flange and chassis both sit behind. ROTATE IT 90 DEGREES at the instrument tail (ADR 0009), and brace to the PCB anyway - it is free. The instrument end mounts to an internal backing plate, NOT to oak: panel thickness max is 4mm for NE8FDP and NE8FDV [NE8FDP datasheet p.2 mechanical table, verbatim 'Panel thickness max. 4 mm 0.16\""'], and the Neutrik Product Guide tabulates 3mm for NE8FD*-TOP against 4mm for the D-series, so 4mm is the D-series figure and not a blanket one. Either way it cannot mount through 6mm oak. Ratings: 1.5A per contact, <=57V, 1kVdc, >1000 mating cycles, <=20N insertion, -30 to +80degC. Variant decided at E12/M7 | 2026-09-22 STATUS MOVED candidate -> open: 'variant TBD' IS NOT A PART NUMBER, and 'candidate' hid that. The bore, mounting pattern, flange and depth are all settled from the banked drawing and none of them depends on the variant - what is open is WHICH D-series variant, decided at E12/M7, and the two ends may not want the same one. See J-UMBILICAL-CABLE, whose shell has a 4.5mm lower bound on cable OD that the discontinued NE8MC did not have"
R-REG-SET-ADJGND,module,475R 0.1% metal film,,"LM317 divider, the ADJ-to-GND leg (R2)",0805 or through-hole,1,candidate,,0004,"*** THE NAME IS THE WIRING: this row is the ADJ-to-GND leg. *** It is named that way because HI/LO was not, and on 2026-09-23 a netlist read those names the only way they can be read - by resistance - and wired the divider backwards. The LM317 sets V_OUT = 1.25 x (1 + R_ADJGND / R_OUTADJ) + I_ADJ x R_ADJGND, so swapping the two legs is not a small error: it gives 1.65V instead of 5.21V, below the DAC8568's absolute minimum AVDD. Check this row against the dac-rail figure's derivation and against ADR 0004's '150 ohm / 475 ohm instead of 240 ohm / 768 ohm', which is written R1/R2 = OUT-ADJ/ADJ-GND. Selected on the bench at E7 and NEVER below 5.00V. This is the leg ADR 0004 shrank from 768 ohm, which is what halves the I_ADJ contribution to the rail."
R-REG-SET-OUTADJ,module,150R 0.1% metal film,,"LM317 divider, the OUT-to-ADJ leg (R1)",0805 or through-hole,1,candidate,,0004,"*** THE NAME IS THE WIRING: this row is the OUT-to-ADJ leg. *** It is named that way because HI/LO was not, and on 2026-09-23 a netlist read those names the only way they can be read - by resistance - and wired the divider backwards. The LM317 sets V_OUT = 1.25 x (1 + R_ADJGND / R_OUTADJ) + I_ADJ x R_ADJGND, so swapping the two legs is not a small error: it gives 1.65V instead of 5.21V, below the DAC8568's absolute minimum AVDD. Check this row against the dac-rail figure's derivation and against ADR 0004's '150 ohm / 475 ohm instead of 240 ohm / 768 ohm', which is written R1/R2 = OUT-ADJ/ADJ-GND. Selected on the bench at E7 and NEVER below 5.00V. This leg also sets the divider current: 1.25/150 = 8.3mA, which is most of the ~13mA that clears every manufacturer's minimum-load spec. At 475 ohm it would be 2.6mA and below the 3.5mA worst case."
