ref,category,part,manufacturer,description,package,qty,status,source,adr,notes
SW-POWER,module,NKK M2011SD4G01,NKK Switches,"Panel power switch - drives the load switch enable, carries no load current","THROUGH-HOLE, M6x0.75 bushing mount, 6.5mm panel hole with a 5.8mm D-flat",1,selected,,0004,"Signal-level only - it drives the LT1641 ON pin and carries no load current. The only power switch in the system; SW-PWR-INST is deleted (ADR 0005). *** CONTACT MATERIAL G, GOLD - NEVER W. *** This drives ON at 1 uA max, three orders of magnitude below any silver contact's wetting current, so silver oxidises and goes intermittent after months - a reliability fault that passes every bench test. NKK's own catalogue example is M2012SS1W01, silver; do not copy it. M2011 is a true SPST ('M2011 model does not have terminal 1' - the M2012 SPDT with one throw omitted). D4 (D-FLAT) OVER S4 (KEYWAY): both need a non-round hole, but a 5.8mm D-flat can be filed by hand where a keyway needs a broach or a mill, and this is a one-off panel. THE PANEL HOLE IS THE TRACKED FIGURE panel-toggle-hole; do not restate it. Bushing thread 8.9mm against a 2mm panel leaves 6.9mm for the nut and washer; max panel thickness with the standard hardware is 2.6mm, so it fits with 0.6mm to spare. Body 7.9mm across, 9.4mm deep behind the bushing; toggle 10.5 x 2.8mm dia, 25 deg throw; solder lugs at 4.7mm pitch. M2RE/M6RE in the Multicomp sheet are TERMINAL style codes, not an M6 thread code - do not misread them"
U-LOADSW,module,LT1641-1CS8,ADI (Linear Tech),Current-limited hot-swap controller on the umbilical +12V feed,SO-8,1,candidate,,0005,"Current-limited hot-swap controller on the umbilical +12V feed. Its two companions are separate rows: the pass FET is Q-LOADSW and the sense resistor is R-ILIM. SUFFIX MATTERS: the -1 LATCHES OFF and is restored only by interrupting power or pulsing ON low; the -2 auto-retries at a 3.75% duty cycle into a persistent short. PINOUT: 1 ON, 2 FB, 3 PWRGD, 4 GND, 5 TIMER, 6 GATE, 7 SENSE, 8 VCC. *** FB, PIN 2, MUST BE DIVIDED DOWN FROM THE OUTPUT - NEVER LEFT OPEN. *** Foldback keys off V_FB, not off V_OUT ('the current folds back as a function of the output voltage, which is sensed at the FB pin', p.8), so with FB at 0V the limit sits at 12mV/50mohm = 240mA permanently, the output never charges, the timer ramps forever and the -1 latches. That is 'the instrument never starts', and no C-TIMER value fixes it; R-FB-HI/R-FB-LO are what set it. From the banked 164112fc.pdf: VCC UVLO 7.5 / 8.3 / 8.8 V, which holds GATE low regardless of ON; I_GATE -5 / -10 / -20 uA [p.2]; I_TIMER pull-up -24 / -80 / -132 uA [p.2]; the 12mV-to-47mV-at-VFB=0.5V law [Figure 7, p.9]. Package S8, theta-JA 110 degC/W. OPEN, AND DECIDED BY TEMPERATURE RATHER THAN BY THIS DOCUMENT: the grade. This row orders the CS8 (0 to +70degC); the IS8 is -40 to +85degC and is the better part for a rack that may sit in a hot van. That is a part change, not a documentation fix - decide it before the order"
Q-LOADSW,module,"N-channel MOSFET, DPAK or SO-8 - NOT CHOSEN",,"Pass FET for U-LOADSW, on the umbilical +12V feed",DPAK or SO-8,1,open,,0005,"*** THE PART IS NOT CHOSEN, AND THE SINGLE-PULSE SOA CURVE DECIDES IT *** - see 'What sizes the FET - Q-LOADSW' in umbilical-load-switch.md, where the numbers live; they are deliberately not restated here. What to carry into the search, in the order it rules parts out: THE CRITERION IS SPIRITO / LINEAR-MODE DERATING AT V_DS = 12V. It is NOT R_DS(on), which is irrelevant at 360 mA, and NOT the thermal rise, which a DPAK handles with room to spare. THE SOA CHART MUST COVER 12V AT BOTH 10ms AND 100ms - a part whose chart stops short of 12V on the linear-mode lines cannot be qualified from its datasheet at all, and many trench parts derate to 2-3W there. NOT SOT-23, on the same SOA grounds"
C-DECOUPLE,module,100nF X7R 50V,,HF decoupling at every module IC supply pin,0805 (2.0 x 1.25mm),19,candidate,,0004,"One per supply pin, close to the pin. 6 x OPA2197 on +/-12V = 12, INA828 = 2, DAC8568 AVDD+DVDD = 2, 74AHCT125, LT1641 VCC, LM317 in. Was 22 with the 74HC123; the watchdog is deleted | 2026-09-21: was 21. The two caps counted for the LM311 are removed - that part was DELETED and its footprint is no longer drawn"
R-ILIM,module,"Sense resistor, value from E6",,Sets the load switch current limit,0805 or 1206,1,open,,0005,"THE resistor that is the limit. 1.0A target. The stated 0.9-1.13A window is +-11% and is NARROWER THAN THE LT1641'S OWN SENSE-THRESHOLD TOLERANCE - the same mistake already found and fixed on the LM317 divider, one row down. So E6 measures the TRIP as well as the load, with a current probe, and the value is selected on the bench like R-REG-SET | 2026-09-21, from the banked 164112fc.pdf p.2: V_SENSETRIP is specified 39 / 47 / 55 mV (min/typ/max) at VFB=1V, i.e. +-17%. So R-ILIM at 50mohm gives a limit of 0.78 / 0.94 / 1.10 A. THE ROW'S OWN OBJECTION IS CONFIRMED BY THE DATASHEET: a +-11% window IS narrower than the part's own sense-threshold tolerance. E6 measures the trip with a current probe and selects the value. The foldback floor at VFB=0 is 8/12/17mV, i.e. 160/240/340 mA - the low corner is what a hot-plug has to climb out of, and the worked start in power-entry.md uses the 12mV typ"
R-FB-HI,module,35.7k 1% thin film,,"Upper leg of the LT1641 FB divider, umbilical +12V to FB",0805 (2.0 x 1.25mm),1,selected,,0005,"BLOCKING AND NEW 2026-09-21. FB (pin 2) was connected to NOTHING, and foldback tracks V_FB, not V_OUT - so the part held the sense drop at its 12mV floor (240mA) forever, never finished the ramp, and the -1 latched off. Size the divider so V_FB crosses 0.5V EARLY in the ramp, above which the threshold is the full 47mV. FB is also the PWRGD comparator input at 1.233V, so the same divider sets where PWRGD asserts across the ramp. VALUES NOT SET: the foldback law is [web, search-index] and needs 164112fc.pdf | 2026-09-21 VALUE SET, NO LONGER BLOCKING. The foldback law is CONFIRMED VERBATIM against the banked 164112fc.pdf: 'The current limit circuit will regulate the voltage across the sense resistor (VCC - VSENSE) to 47mV when VFB is 0.5V or higher. If VFB drops below 0.5V, the voltage across the sense resistor decreases linearly and stops at 12mV when VFB is 0V' [p.5], drawn as Figure 7 [p.9]. STRUCTURAL POINT THIS ROW DID NOT KNOW: V_FB=0.5V and the PWRGD threshold V_FBH=1.313V are set by the SAME divider, so V_OUT(full 47mV limit) = 0.381 x V_OUT(PWRGD) ALWAYS - 'cross 0.5V early' and 'PWRGD means the output is good' are one decision, not two, and the ratio is fixed by the part. Sized at the PWRGD end because that is the end with a hard requirement: PWRGD must release below the worst-case delivered output of ~11.36V (Eurorack +12V at -5%, less the sense and FET drops). 35.7k/5.11k puts PWRGD at 10.49V nominal (10.05-10.93V over 1% resistors and the 1.280-1.345V V_FBH window) and V_FB=0.5V at 3.99V of output. Divider current 294uA at 12V, i.e. 294x the 1uA max FB input current [p.2], so leakage is <=0.34% of the ratio"
R-FB-LO,module,5.11k 1% thin film,,"Lower leg of the LT1641 FB divider, FB to PWR_GND",0805 (2.0 x 1.25mm),1,selected,,0005,"Partner to R-FB-HI. Same blocker: the divider ratio follows from the foldback law and the PWRGD threshold, both of which are search-index text until analog.com is reachable | 2026-09-21 VALUE SET. 5.11k against R-FB-HI's 35.7k is a ratio of 6.986 against the 7.00 the 10.5V PWRGD target wants. See R-FB-HI and power-entry.md for the derivation and the worst-case table"
R-GATE-SER,module,10R 5%,,Series gate resistor between LT1641 GATE and the N-FET gate,0805 (2.0 x 1.25mm),1,candidate,,0005,"NEW 2026-09-21, read straight off ADI's typical application [164112fc Figure 5, p.8] once the datasheet was banked. It is R5 there, and the text says what it is for: 'R5 prevents high frequency oscillations in Q1' [p.7]. This page drew GATE going straight to the FET. Not a judgement call - it is the manufacturer's reference circuit for the part, and the FET it damps is the one that has to hold 940mA steady for 47ms on every hot-plug"
R-GATE-COMP,module,1k 5%,,"Compensation resistor in series with C-GATE-LOADSW, GATE to PWR_GND",0805 (2.0 x 1.25mm),1,candidate,,0005,"NEW 2026-09-21, from ADI's typical application [164112fc Figure 5, p.8], where it is R6: 'Resistor R6 provides current control loop compensation' [p.7]. IT IS IN SERIES WITH THE GATE CAPACITOR, not in parallel with anything - the schematic here had C-GATE-LOADSW going straight to ground, which removes the compensation zero from the current-limit loop. C-GATE's ramp calculation is unaffected (the 1k sees 10uA, i.e. 10mV)"
C-TIMER-LOADSW,module,"10uF low-leakage, 16V or better",,Fault timer capacitor for U-LOADSW,THROUGH-HOLE radial or 1210 ceramic,1,selected,,0005,"Fault timer capacitor for U-LOADSW. The value is the tracked figure loadswitch-timer and its derivation is in umbilical-load-switch.md; neither is restated here. TWO THINGS BIND WHEN BUYING IT. *** SPECIFY A LOW-LEAKAGE PART *** - at this value it is electrolytic or large ceramic, where leakage is a meaningful fraction of the 3 uA TIMER pull-down, and a leaky part means the timer never resets. And the package is through-hole radial or 1210 ceramic: an 0805 C0G cannot hold it. Fault time over the pull-up's own bounds is 587 / 160 / 95.6 ms, so the worst case is 95.6 ms against a 47.5 ms hot-plug start - 2.01x, which is the margin that actually had to be met. Datasheet hard minimum is 1.5 nF [p.5], not binding here"
