id,slice,line,severity,verdict,headline
D11-1,D11,30,high,NOT ADDRESSED,D11-1 The stated reason for not renaming the banked file is false — .moves.csv exists for exactly this and already rewrites this file's path. Repeated in three places. High
D11-10,D11,39,medium,NOT ADDRESSED,D11-10 check_verified_against() has zero inputs . No circuit.yaml in the tree declares verified_against ; all 23 were rewritten in this batch and none gained one. The SHA-256 bank has no machine link to any figure. Mediu
D11-11,D11,40,low,NOT ADDRESSED,"D11-11 ""Package Option Addendum (p.54-57)"" — it is p.54–55. Restated in four places. Low"
D11-12,D11,41,low,NOT ADDRESSED,"D11-12 The two BLOCKED rows record candidate URLs with no attempt evidence, unlike every other blocked row in the manifest. Low"
D11-13,D11,42,low,NOT ADDRESSED,"D11-13 panel-toggle-hole 's derivation says the NKK drawing has ""no text layer"". repo-maintenance.md §3 already corrects that claim for this exact document. Low"
D11-2,D11,31,high,NOT ADDRESSED,"D11-2 MANIFEST.csv still carries DAC8568CIPW as a live OK row with no marker, sorted above the corrected one; R9's SUPERSEDES keyword is invisible to merge-manifests.py by construction. High"
D11-3,D11,32,high,NOT ADDRESSED,D11-3 D-TVS-BREATH 's three unsourced numbers are still unmarked in hardware/bom.csv . The caveat exists only inside a 127 kB generated CSV. The U-TVS-SPI row two lines away does it correctly. High
D11-4,D11,33,medium,NOT ADDRESSED,D11-4 The new BLOCKED row misattributes those numbers: two of the three are about a rejected part and one is calc off a tracked figure. The datasheet it blocks on can never settle them. Medium
D11-5,D11,34,medium,NOT ADDRESSED,"D11-5 datasheets/README.md §""What is still missing"" was not updated; the new highest-consequence gap is absent while three lesser ones are listed. Its ""one row per part"" rule is now contradicted. Medium"
D11-6,D11,35,medium,NOT ADDRESSED,"D11-6 Both new rows put the literal string BLOCKED in the sha256 column. Schema violation, unchecked, inconsistent with all 21 other no-file rows. Medium"
D11-7,D11,36,medium,NOT ADDRESSED,"D11-7 verify-datasheets.py 's ""78 verified"" counts rows, not documents : 76 files, two counted twice. R9 raised that number by one while banking nothing. Medium"
