id,slice,line,severity,verdict,headline
C1-2,N2,,,NOT ADDRESSED,CITED ONLY - introduced in no report
C2-1,N3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
C2-2,N2,,,NOT ADDRESSED,CITED ONLY - introduced in no report
C3-2,N2,,,NOT ADDRESSED,CITED ONLY - introduced in no report
C4-2,N2,,,NOT ADDRESSED,CITED ONLY - introduced in no report
N1-1,N1,57,,recorded,"N1-1 — module/power-entry . REG_ADJ / DAC_AVDD : the LM317's two divider legs are on the wrong pins, and the rail is 1.65 V, not 5.21 V"
N1-2,N1,175,,recorded,"N1-2 — module/breath-output-stage . RAIL_NEG / RAIL_POS : the output clamp's rail terminals are on nets that exist nowhere, while the rail itself is a port of the same circuit"
N1-3,N1,249,,recorded,"N1-3 — module/pitch-stage . GAIN_TRIM_MID / TRIM-GAIN : the page states two different nominal gains for the same network, and the netlist cannot say which"
N1-4,N1,309,,NOT ADDRESSED,"N1-4 — module/pitch-stage . MINUS_NODE / C-FB-PITCH : the shelf's stated pole and zero are the 1 nF pair, not the netlist's 2.2 nF pair"
N1-5,N1,354,,NOT ADDRESSED,"N1-5 — module/breath-output-stage . SUM_NODE / R-BREATH-FB : the summer's fixed gain is 4.02 from the netlist, not 4"
N1-6,N1,389,,NOT ADDRESSED,N1-6 — carrier/breath-excitation-reference . U-REFBUF / U-BREATHBUF : the negative rail of both halves is asserted only in prose
N1-7,N1,417,,NOT ADDRESSED,N1-7 — module/breath-receive-stage . U-REF-BUF : the only OPA2197 half on the module with no rails: at all
N1-8,N1,443,,NOT ADDRESSED,N1-8 — module/breath-receive-stage . AGND_SENSE / D-CLAMP-IN+ : the clamp's note names a node the net is not
N1-9,N1,471,,recorded,N1-9 — module/breath-response-shaper . V_SHAPED : an Interfaces row that no netlist and no master net backs
N2-1,N2,53,,recorded,"N2-1 — AGND_MOD is the return path for all six CV jack sleeves, on a net two of its own pages call ""Not a return path"""
N2-10,N2,510,,recorded,"N2-10 — the two single-supply OPA2197 halves return V- to the analog star in prose and to nothing in the netlist, and the schema cannot express it"
N2-11,N2,566,,recorded,N2-11 — the DISPUTED figure that owns every ground question cites three locations and all three are wrong
N2-12,N2,598,,recorded,"N2-12 — digital-and-supervision.md 's drawing picks a side of the disputed figure in prose, where nothing checks it"
N2-13,N2,632,,NOT ADDRESSED,"N2-13 — nets.yaml settles which ground the panel LED lands on, in the entry that says it does not settle topology"
N2-14,N2,672,,recorded,N2-14 — every page that enumerates what returns to AGND_MOD is missing items the netlist puts there
N2-15,N2,711,,NOT ADDRESSED,"N2-15 — the figure cited on a reference port is inconsistent across the circuits that share the net, and one of them is the wrong figure"
N2-16,N2,754,,recorded,"N2-16 — cluster/key-marker-and-bits declares a GND_CHAIN port that no net of that name exists for, and nothing on the board returns to"
N2-17,N2,795,,recorded,"N2-17 — module/power-entry 's Interfaces row for PWR_GND names two of the six circuits that reference it, and three of them have no dependency edge"
N2-2,N2,115,,recorded,"N2-2 — DIG_GND has no instrument end: J-UMB-INST.8 lands on nothing, and the page that names its peer names a circuit with no such port"
N2-3,N2,171,,recorded,"N2-3 — carrier/carrier is the one netlisted circuit with no Interfaces table and no circuit.yaml , and it is the circuit N2-2 needs"
N2-4,N2,213,,recorded,"N2-4 — on the module, all three reference nets originate at module/power-entry and none of them reaches J-PWR-EURO.GND"
N2-5,N2,279,,NOT ADDRESSED,"N2-5 — GND_CHAIN and PWR_GND are one node under two names, and no netlist joins them: the whole key chain has no return"
N2-6,N2,335,,NOT ADDRESSED,"N2-6 — AGND_INST ""carries no power current"" is ADR 0004's rule about AGND_SENSE , restated against the wrong net"
N2-7,N2,386,,NOT ADDRESSED,"N2-7 — J-LED-L.BI / J-LED-R.BI are tied to the carrier pour; the page, the BOM row and the datasheet reading all put that tie at the strip head"
N2-8,N2,430,,NOT ADDRESSED,N2-8 — led-strip-drive nets the strip power pins that its own page and its own component note say belong to another circuit
N2-9,N2,472,,NOT ADDRESSED,"N2-9 — umbilical-load-switch.md says the FET source returns to PWR_GND and, two rows up, that it is the exported rail; the netlist chose silently"
N3-1,N3,47,critical,recorded,"N3-1 critical module/power-entry REG_ADJ / DAC_AVDD LM317 divider inverted: 1.65 V, not dac-rail 's 5.21 V"
N3-10,N3,56,low,NOT ADDRESSED,N3-10 low-med U-DAC.VREFIN/VREFOUT no load capacitor anywhere; SBAS430E recommends =150 nF
N3-11,N3,57,low,NOT ADDRESSED,N3-11 low MODULE_ANALOG_POS12 R-OFFNEG 's stated reason for −12 V is false on both halves
N3-12,N3,58,low,recorded,N3-12 low C-BULK-RAIL / MODULE_ANALOG_POS12 the 2.2x decay argument counts a deleted comparator and omits the op-amps
N3-13,N3,59,,recorded,"N3-13 method rails: demonstrated fail-open: a wrong rail set, and a missing one, both pass"
N3-2,N3,48,high,recorded,N3-2 high U-REF-BUF (breath-receive-stage) the only OPA2197 half in the corpus with no rails: — no supply at all
N3-3,N3,49,high,recorded,N3-3 high C-DECOUPLE qty 19 counts a DAC8568 DVDD pin that does not exist; 18
N3-4,N3,50,medium,recorded,"N3-4 medium C-DECOUPLE , C-DECOUPLE-CARRIER rails: makes per-pin decoupling unplaceable: 15 of 27 caps have no pin"
N3-5,N3,51,medium,recorded,N3-5 medium MODULE_ANALOG_POS12 @ breath-output-stage port omitted; D-JACK-CLAMP.K dumped into an invented RAIL_POS
N3-6,N3,52,medium,recorded,"N3-6 medium ON net, umbilical-load-switch unquoted ON: — YAML parses the net name as boolean True"
N3-7,N3,53,medium,recorded,N3-7 medium C-BUCK-IN netlist settled the one-LC topology; row and page still say ×2
N3-8,N3,54,medium,NOT ADDRESSED,"N3-8 medium PWR_EXPORT ( FB2 , C2 ) the bead whose whole selection is the umbilical current is netted to a dead end"
N3-9,N3,55,low,NOT ADDRESSED,"N3-9 low-med C-ADC-BULK a row whose own note says PROPOSED, NOT DECIDED is asserted unconditionally"
N4-1,N4,64,,recorded,"N4-1 — U-MCU-RT.IO43 , U-MCU-RT.IO44 (and .P3V3 , .P5V ): pins the board does not have under those names"
N4-10,N4,549,,NOT ADDRESSED,"N4-10 — U-DIFFRX.RG1 / .RG2 (INA828): a pin name the device does not have, twice"
N4-11,N4,594,,recorded,N4-11 — U-DAC.AVDD : no decoupling capacitor on the net
N4-2,N4,122,,recorded,"N4-2 — U-OPA-PITCH : section: A is claimed by three circuits and section: B by two, on a six-package row"
N4-3,N4,174,,recorded,N4-3 — U-OPA-PITCH pin 8 ( V+ ) and pin 4 ( V– ): supply pins that appear in no net anywhere
N4-4,N4,41,,NOT ADDRESSED,N4-4.
N4-5,N4,275,,NOT ADDRESSED,N4-5 — U-DAC : the channel→letter map (commissioned claim 1)
N4-6,N4,359,,NOT ADDRESSED,"N4-6 — U-LVL-MOD / U-LVLSHIFT (74AHCT125): gate assignment, gate letters , and OE (commissioned claim 2)"
N4-7,N4,441,,NOT ADDRESSED,"N4-7 — U-REF-BREATH (REF5050AIDR): three pins declared of eight, two of them DNC"
N4-8,N4,482,,NOT ADDRESSED,"N4-8 — U-TVS-SPI / U-TVS-CHAIN (SP0504BAHTG): right pin count, invented names, and the common pin cannot be read from the banked document"
N4-9,N4,513,,NOT ADDRESSED,"N4-9 — J-CV-PITCH , J-CV-BREATH , J-CV-MOD1 – 4 (PJ398SM): the third pad, named once out of six"
N5-1,N5,80,high,recorded,N5-1 — module/breath-output-stage · D-JACK-CLAMP.K / D-JACK-CLAMP.A · HIGH
N5-10,N5,528,low,NOT ADDRESSED,N5-10 — module/pitch-stage · TRIM-GAIN.CW · LOW
N5-11,N5,559,low,NOT ADDRESSED,N5-11 — module/breath-response-shaper · V_SHAPED · LOW
