id,slice,line,severity,verdict,headline
D11-11,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D11-12,E3,408,,NOT ADDRESSED,"- D11-12 — the two BLOCKED rows record candidate URLs ""with no attempt"
D11-6,E3,403,,NOT ADDRESSED,- D11-6 — BLOCKED written into the sha256 column of the two new manifest
D11-7,E3,268,,NOT ADDRESSED,"D11-7 is itself slightly under-stated: it names the DAC PDF as the double, and"
D11-9,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D12-1,E1|E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D12-10,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D12-2,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D12-7,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D12-9,E3|E4,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D13-1,E1,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D13-2,E3,152,,NOT ADDRESSED,D13-2's recommendation — a blocked register entry plus a ROADMAP measurement
D13-3,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D13-8,E3,411,,NOT ADDRESSED,"- D13-8 — D-TVS-BREATH 's three unsourced numbers. The gap is recorded,"
D13-9,E1|E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D14-1,E1,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D14-6,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D14-7,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D14-9,E3|E4,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D15-1,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D15-11,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D15-2,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D16-1,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D16-10,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D16-2,E3,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D2-1,E3,636,,NOT ADDRESSED,"- D2-1 reproduces exactly, both halves — the 1-of-37 coverage and the"
