ref,category,part,manufacturer,description,package,qty,status,source,adr,notes
CAP1-n,controller,MT165-MX,Tai-Hao,Keycap 16.5x16.5mm blank black MX stem,keycap,21,purchased,Beekeeb,0002,"16.5 x 16.5 mm blank PBT with an MX stem, confirmed by the manufacturer's own store ('Profile: MT165 Profile (Keycap Size: 16.5 x 16.5 mm) ... Blank ... PBT ... Compatible with: MX switches / Choc V1 switches'). Smaller than MX keycap spacing, which is the point. NOTE THE DOMAIN: taihao.com.tw is unreachable, www.tai-hao.com answers. THREE THINGS OPEN, AND ONE OF THEM DECIDES WHETHER THE PART FITS AT ALL. (a) HEIGHT, STEM DEPTH AND PROFILE/DISH ARE UNPUBLISHED - no drawing, STEP, dimensioned image or catalogue entry exists anywhere. The 16.5mm is a FOOTPRINT, not an envelope, so nothing bounds the Z stack above PLATE-TOP. (b) *** SWITCH COMPATIBILITY IS DISPUTED BETWEEN VENDORS AND THE TWO ARE NOT RECONCILABLE FROM DOCUMENTS: *** Tai-Hao says 'Choc V1'; Beekeeb, the supplier this row names, says Choc v2 / Gateron LP 2.0-3.0 / MX and explicitly NOT v1. SW1-n is a Gateron KS-33 low-profile 2.0, so Beekeeb's claim is the one this build depends on. (c) PACK SIZE: this row says 5-packs while Tai-Hao's store lists 18 pcs/set, which would make it two - CHECK THE PACK SIZE AGAINST THE ACTUAL SUPPLIER BEFORE ORDERING. And DO NOT let anyone 'correct' MT165 to the catalogue's THM line: that is 16.5 x 17.5mm and a different product"
U-IMU,controller,QMI8658C (onboard U-MCU-RT),multiple,6-axis IMU - accel + gyro no fusion,on dev board,1,selected,,0007,"Fusion not wanted - raw accel is the signal and capture-on-press makes drift irrelevant. 6-axis confirmed from CircuitPython/Zephyr board definitions, not the listing. SDA=GPIO11 SCL=GPIO12 INT1=GPIO10 INT2=GPIO13. This IS the final IMU - the carrier is passive"
U-DISP,controller,T-Display-S3 AMOLED (base not Plus),LilyGO,1.91in 536x240 AMOLED RM67162 QSPI + ESP32-S3,"dev board, headers",1,selected,,0008,60x25.5x10mm - mounts lengthwise. 18 GPIO broken out
LED-SIDE,controller,"WS2815 (12V addressable) 60/m, 1m reel",multiple,Addressable LED strip - one 1m reel cut into two 420mm side runs,flexible strip,1,candidate,,0014,"Qty is a REEL, not a length. 0.84m used of 1m. 12V native so no 5V rail. TWO independent data lines, no crossover wire. Backup data line survives a dead LED. 60/m settled on appearance; M6 can downgrade on looks"
U-OPA-GEN,module,(none - OPA2197 used throughout),,Superseded by U-OPA-PITCH,n/a,0,not-needed,,0006,Single part number beats saving a few dollars on a one-off. Removes a class of assembly error
J-UMBILICAL-CABLE,module,Neutrik NE8MC or NE8MX etherCON cable shell (variant TBD),Neutrik,"Cable-side locking shell for the umbilical, assembled around a standard RJ45 plug",cable,2,open,,0004,"TWO, one per end of the 2m umbilical. NE8FDP is a FEEDTHROUGH receptacle that mates with any standard RJ45, so a plain Cat5e patch lead works on the bench - the locking, strain-relieved shell is what makes this an instrument tether rather than a cable that falls out. *** DO NOT ORDER NE8MC: IT IS DISCONTINUED *** - its own datasheet p.1 opens '*** DISCONTINUED *** Direct replacement / successor: NE8MX'. DIMENSIONS from the vendor documents: NE8MC dia 19 x 68mm with boot (52.6 short); NE8MX dia 20.1 x 66.4mm (50 short), boot dia 18.9; NE8MX6 dia 20.3 x 75.5 +/-1. *** THE SUCCESSOR IS 1.1mm FATTER AND 1.6mm SHORTER THAN THE PART IT REPLACES, AND IT ADDS A 4.5mm LOWER BOUND ON CABLE OD THAT THE NE8MC DID NOT HAVE *** - check the chosen Cat5's jacket against it, and note a booted lead may not fit the shell at all. Variant still TBD"
BODY-OAK,mechanical,TBD,,Oak top and bottom panels,n/a,2,candidate,,0009,Bottom panel thickness sets thumb key inset depth
SIDE-ACRYLIC,mechanical,TBD,,Frosted acrylic side panels,n/a,2,candidate,,0009,Edge-lit
BENCH,tooling,n/a,,"Scopes, logic analysers, DMMs, signal generators, RF",n/a,1,available,,0006,Full bench available - E9 not gated on tooling
J-USB,controller,USB-C receptacle,,USB-C connector for the real-time carrier,n/a,1,not-needed,,0013,Dev boards carry these. Only required if a custom MCU carrier is ever built (ADR 0013)
U-ESD-USB,controller,USBLC6-2SC6,ST,USB ESD protection array,n/a,1,not-needed,,0013,Dev boards carry these. Only required if a custom MCU carrier is ever built (ADR 0013)
SW-BOOT,controller,TBD,,Boot and reset buttons,n/a,2,not-needed,,0013,Dev boards carry these. Only required if a custom MCU carrier is ever built (ADR 0013)
TUBE,controller,silicone tube + dead-volume trap,,"Breath tube from mouthpiece to sensor, plus dead-volume trap",n/a,1,open,,0003,"~400mm - the sensor sits at the BOTTOM with the real-time board (ADR 0003), not at the top. 1.17ms propagation, the largest single term in the latency budget. Trap <=1mL and clearable without disassembly"
MECH-PTFE,controller,Porous hydrophobic PTFE plug,,Helmholtz restrictor AND liquid-water barrier at the sensor port,press-fit into the tube,2,open,,0003,"One part, two jobs: sizes the resonance above the 500Hz corner and blocks liquid. Size the orifice at E2. Trap volume <=1mL. Pressure port only - the DP's reference port is unplumbed"
MECH-WINDOW,controller,Acrylic window + thin diffuser,,Top-face window for the 8x8 matrix just past the last key - through the oak top and the key plate with the diffuser under the plate,"~22mm sq, laser cut",1,open,,0014,"NOT the side panels' frosted material - needs pixel definition, not blur. Thin and close to the LEDs. Prototype at M6"
CABLE-UMB,controller,"Cat5e STP patch lead, STRANDED, ~2m",,"Umbilical cable, module to instrument",RJ45 both ends,2,open,,0004,"*** GAUGE IS OPEN AND THREE DERIVATIONS ASSUME 24 AWG. *** 0005:91 computes a ~0.34 ohm round trip, breath-sense-link.md:100 a 0.168 ohm return term, and 0003:315 a whole signal-drop table - all at 24 AWG, which this row does not specify. A stranded Cat5e PATCH lead is commonly 26 or 28 AWG, at 1.6x to 2.6x the resistance. WHAT DECIDES IT: buy the lead, read the jacket print, or measure end-to-end DC resistance at E6. Note the trap - the well-argued STRANDED requirement below is exactly what makes a thinner gauge likely, and nobody connected the two. STRANDED not solid-core: solid core work-hardens and fractures under constant flexing, which is this cable's whole life. Shielded preferred. It is a CONSUMABLE - keep spares and replace at the first intermittency"
MECH-MOUTH,controller,Tube end + small nib (lip locator),,"Mouthpiece - no bite sensor, raw tube is playable","turned or printed, removable",1,open,,0003,OD must let the lips vent at the corners - that is what makes circular breathing work. Bore settled at E2 by playing two or three sizes. Removable for cleaning
