id,slice,line,severity,verdict,headline
D24-0,G6,,,NOT ADDRESSED,CITED ONLY - introduced in no report
D3-2,G6|G7,,,NOT ADDRESSED,CITED ONLY - introduced in no report
E2-8,G10,,,NOT ADDRESSED,CITED ONLY - introduced in no report
G1-1,G1,79,,NOT ADDRESSED,"G1-1 — U-LOADSW : the retirement of two alternative controllers was deleted,"
G1-10,G1,232,,NOT ADDRESSED,"G1-10 — U-DIFFRX 's deleted E10 warning is obsolete, not lost. The removed"
G1-11,G1,238,,NOT ADDRESSED,"G1-11 — F-CHAIN 's tooling lesson survives, in the tool. The deleted"
G1-12,G1,249,,NOT ADDRESSED,G1-12 — R-KEY-SER / C-KEY / R-SPI-SER lost only superseded arithmetic.
G1-13,G1,257,,NOT ADDRESSED,"G1-13 — the three consolidations all landed. (a) The 1,100-character OPA2197"
G1-14,G1,270,,NOT ADDRESSED,"G1-14 — the figure delegations are real. I checked every ""do not restate it,"
G1-15,G1,284,,NOT ADDRESSED,"G1-15 — U-TVS-CHAIN is a 4-channel array specified in SOT-23-6, which is the"
G1-2,G1,108,,NOT ADDRESSED,G1-2 — FB-IN : the retired =1 A rationale was moved into forbidden in ONE
G1-3,G1,143,,NOT ADDRESSED,G1-3 — J-UMBILICAL-CABLE : the cable-OD window lost its upper bound while the
G1-4,G1,160,,NOT ADDRESSED,G1-4 — U-LOADSW : the trim INTRODUCED a three-value restatement of a
G1-5,G1,179,,NOT ADDRESSED,G1-5 — C-GATE-LOADSW : an unsourced claim was introduced.
G1-6,G1,191,,NOT ADDRESSED,G1-6 — D-USBOR : unbalanced bracket introduced.
G1-7,G1,197,,NOT ADDRESSED,G1-7 — J-CHAIN : three secondary mechanical numbers went and are not anywhere.
G1-8,G1,220,,NOT ADDRESSED,"G1-8 — SW-POWER 's S4 keyway dimensions survive. The deleted ""5.6mm flat"
G1-9,G1,228,,NOT ADDRESSED,"G1-9 — U-LOADSW 's TPS2553 rejection survives. ""Would not survive first"
G10-1,G10,37,,NOT ADDRESSED,"G10-1 — check_checks() proves a check was CALLED, never that its result"
G10-10,G10,224,,NOT ADDRESSED,G10-10 — MIN_CORPUS_FILES ' justifying comment states a corpus size that has
G10-11,G10,233,,NOT ADDRESSED,G10-11 — an empty hardware/bom.csv crashes check_bom() rather than being
G10-12,G10,249,,NOT ADDRESSED,"G10-12 — determinism: clean. test , clone, PYTHONHASHSEED ∈"
G10-13,G10,245,,NOT ADDRESSED,"G10-13) — so it is a robustness defect, not a hole. Recorded because the file"
G10-14,G10,279,,NOT ADDRESSED,G10-14 — exit codes are used where it matters. repo
G10-15,G10,291,,NOT ADDRESSED,"G10-15 — the documented masking bug is genuinely fixed. test , clone,"
